Designator,Value,Footprint,Mid X,Mid Y, Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_Keystone_1060_1x2032",119.750000,-108.750000,-90.000000,top
"D1","LED_Small","LED_0805_2012Metric",140.250000,-110.500000,90.000000,top
"D2","LED_Small","LED_D3.0mm",146.250000,-114.270000,90.000000,top
"D3","LED_Small","LED_0805_2012Metric",135.250000,-110.500000,90.000000,top
"R1","R_Small","R_0805_2012Metric",140.250000,-104.821429,-90.000000,top
"R2","R_Small","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",146.250000,-97.670000,-90.000000,top
"TP1","TestPoint","TestPoint_Keystone_5015_Micro_Mini",134.525000,-119.250000,0.000000,top
