"Reference","QUANTITY","Value","DNP","Part Number","URL","Footprint"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_Keystone_1060_1x2032"
"D1,D3","2","LED_Small","","","","LED_SMD:LED_0805_2012Metric"
"D2","1","LED_Small","","","","LED_THT:LED_D3.0mm"
"R1","1","R_Small","DNP","","","Resistor_SMD:R_0805_2012Metric"
"R2","1","R_Small","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"TP1,TP2","2","TestPoint","","","","TestPoint:TestPoint_Keystone_5015_Micro_Mini"
